sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
ALAD_CCDS6794.2_ex10_9:116155717-116155740:+_5-5	ALAD	242	248	5	488	25	112	102	143	112	121	57	56
ALAD_CCDS6794.2_ex6_9:116152929-116152952:+_5-1	ALAD	288	349	81	42	46	136	222	92	135	190	78	228
ALAD_CCDS6794.2_ex7_9:116153069-116153092:+_5-2	ALAD	621	753	116	200	168	162	172	236	227	268	204	195
ALAD_CCDS6794.2_ex8_9:116153846-116153869:+_5-4	ALAD	483	663	178	76	69	93	257	198	124	311	295	273
ALAD_CCDS6794.2_ex7_9:116153197-116153220:+_5-3	ALAD	624	724	165	505	505	354	347	310	336	340	339	225
ALAS1_CCDS2847.1_ex4_3:52239920-52239943:-_5-5	ALAS1	515	607	190	462	286	293	327	339	427	620	367	341
ALAS1_CCDS2847.1_ex3_3:52238817-52238840:-_5-3	ALAS1	607	706	45	155	36	280	188	149	79	144	162	333
ALAS1_CCDS2847.1_ex4_3:52239852-52239875:+_5-4	ALAS1	95	93	77	199	0	43	42	38	41	61	81	158
ALAS1_CCDS2847.1_ex0_3:52233440-52233463:-_5-1	ALAS1	890	1068	165	346	233	951	629	909	538	960	512	743
ALAS1_CCDS2847.1_ex2_3:52237910-52237933:+_5-2	ALAS1	147	177	47	0	0	214	142	138	26	116	46	96
ALAS2_CCDS14366.1_ex9_X:55052261-55052284:-_5-5	ALAS2	224	274	614	502	802	527	269	474	343	457	261	601
ALAS2_CCDS14366.1_ex4_X:55044073-55044096:-_5-2	ALAS2	542	701	374	588	982	279	549	765	398	610	350	470
ALAS2_CCDS14366.1_ex4_X:55044034-55044057:-_5-1	ALAS2	81	110	73	108	58	567	68	72	72	144	155	200
ALAS2_CCDS14366.1_ex6_X:55047618-55047641:+_5-4	ALAS2	336	425	346	184	1190	715	502	402	246	356	343	284
ALAS2_CCDS14366.1_ex6_X:55047525-55047548:+_5-3	ALAS2	20	30	0	6	0	0	31	20	38	50	23	32
ALB_CCDS3555.1_ex6_4:74277793-74277816:-_5-4	ALB	503	637	538	524	543	749	459	546	525	635	636	750
ALB_CCDS3555.1_ex7_4:74279171-74279194:+_5-5	ALB	168	245	421	503	47	66	145	77	218	293	198	186
ALB_CCDS3555.1_ex3_4:74274343-74274366:+_5-1	ALB	232	262	327	322	97	208	182	368	253	284	119	254
ALB_CCDS3555.1_ex3_4:74274450-74274473:-_5-2	ALB	278	373	266	252	218	329	523	509	334	306	228	388
ALB_CCDS3555.1_ex4_4:74275099-74275122:-_5-3	ALB	117	183	412	270	244	129	68	219	158	258	137	119
ALCAM_CCDS33810.1_ex2_3:105243290-105243313:+_5-2	ALCAM	438	439	230	219	428	404	586	360	355	573	307	386
ALCAM_CCDS33810.1_ex1_3:105238960-105238983:-_5-1	ALCAM	487	539	476	329	498	529	724	629	290	567	441	607
ALCAM_CCDS33810.1_ex4_3:105252476-105252499:-_5-3	ALCAM	306	315	141	255	144	689	280	325	301	323	209	501
ALCAM_CCDS33810.1_ex5_3:105253614-105253637:-_5-4	ALCAM	574	754	458	126	385	731	609	882	345	449	439	560
ALCAM_CCDS33810.1_ex6_3:105258903-105258926:+_5-5	ALCAM	675	974	139	348	477	958	876	954	502	631	606	457
ALDH16A1_CCDS12766.1_ex7_19:49965945-49965968:-_5-5	ALDH16A1	650	792	273	206	192	546	728	576	498	733	455	505
ALDH16A1_CCDS12766.1_ex3_19:49962914-49962937:+_5-2	ALDH16A1	776	809	1127	649	940	1713	647	807	865	1199	652	974
ALDH16A1_CCDS12766.1_ex3_19:49962995-49963018:+_5-3	ALDH16A1	329	408	184	60	24	462	350	185	238	348	278	257
ALDH16A1_CCDS12766.1_ex5_19:49964953-49964976:-_5-4	ALDH16A1	352	477	74	365	182	306	305	398	364	398	234	413
ALDH16A1_CCDS12766.1_ex2_19:49962328-49962351:-_5-1	ALDH16A1	623	683	333	359	103	691	1056	1195	597	896	614	742
ALDH18A1_CCDS31257.1_ex15_10:97402747-97402770:-_5-4	ALDH18A1	579	628	221	207	106	588	592	465	307	515	397	437
ALDH18A1_CCDS31257.1_ex15_10:97402878-97402901:-_5-5	ALDH18A1	382	428	174	240	700	998	424	391	374	428	628	872
ALDH18A1_CCDS31257.1_ex11_10:97392763-97392786:-_5-2	ALDH18A1	598	678	615	503	481	591	664	962	746	840	750	964
ALDH18A1_CCDS31257.1_ex14_10:97397112-97397135:+_5-3	ALDH18A1	261	296	280	546	117	250	217	252	309	361	173	396
ALDH18A1_CCDS31257.1_ex8_10:97386486-97386509:-_5-1	ALDH18A1	429	475	416	87	243	585	506	521	394	537	415	493
ALDH1A1_CCDS6644.1_ex10_9:75545860-75545883:+_5-5	ALDH1A1	735	906	760	515	340	1877	853	735	858	1357	806	746
ALDH1A1_CCDS6644.1_ex9_9:75543841-75543864:-_5-2	ALDH1A1	604	656	502	677	199	122	604	543	477	838	353	590
ALDH1A1_CCDS6644.1_ex9_9:75543807-75543830:+_5-1	ALDH1A1	492	556	736	327	124	590	456	669	443	558	432	650
ALDH1A1_CCDS6644.1_ex10_9:75545829-75545852:-_5-4	ALDH1A1	162	201	115	108	1079	78	88	49	145	215	100	159
ALDH1A1_CCDS6644.1_ex10_9:75545796-75545819:-_5-3	ALDH1A1	647	761	662	745	434	768	706	726	585	873	599	586
ALDH1A2_CCDS10163.1_ex9_15:58302953-58302976:-_5-5	ALDH1A2	226	307	116	240	41	104	290	218	211	322	209	318
ALDH1A2_CCDS10163.1_ex9_15:58302835-58302858:+_5-3	ALDH1A2	16	34	9	9	179	30	4	60	18	14	14	0
ALDH1A2_CCDS10163.1_ex9_15:58302884-58302907:-_5-4	ALDH1A2	209	185	320	36	20	72	122	53	79	94	60	47
ALDH1A2_CCDS10163.1_ex8_15:58287282-58287305:+_5-2	ALDH1A2	211	276	81	57	164	221	56	139	190	176	152	185
ALDH1A2_CCDS10163.1_ex4_15:58256219-58256242:+_5-1	ALDH1A2	193	219	256	94	697	424	263	211	121	203	338	376
ALDH1A3_CCDS10389.1_ex1_15:101425486-101425509:+_5-1	ALDH1A3	199	286	121	2	193	170	282	300	177	335	146	291
ALDH1A3_CCDS10389.1_ex4_15:101433181-101433204:-_5-4	ALDH1A3	381	435	2226	469	1297	560	218	268	466	507	227	295
ALDH1A3_CCDS10389.1_ex1_15:101425521-101425544:+_5-2	ALDH1A3	270	332	140	162	298	278	180	396	314	304	165	244
ALDH1A3_CCDS10389.1_ex3_15:101432714-101432737:+_5-3	ALDH1A3	279	305	381	157	293	96	233	145	251	364	267	241
ALDH1A3_CCDS10389.1_ex5_15:101434255-101434278:-_5-5	ALDH1A3	209	254	303	64	92	222	177	385	144	234	297	177
ALDH1B1_CCDS6615.1_ex0_9:38396074-38396097:-_5-3	ALDH1B1	911	1125	719	1124	646	853	833	902	738	1026	534	815
ALDH1B1_CCDS6615.1_ex0_9:38396178-38396201:+_5-5	ALDH1B1	988	1113	1108	1145	187	1551	1132	1023	738	892	938	1623
ALDH1B1_CCDS6615.1_ex0_9:38396017-38396040:-_5-2	ALDH1B1	922	1114	683	666	492	679	734	622	916	1431	1175	1246
ALDH1B1_CCDS6615.1_ex0_9:38396134-38396157:+_5-4	ALDH1B1	679	867	382	1369	454	1340	634	918	629	744	519	857
ALDH1B1_CCDS6615.1_ex0_9:38395907-38395930:+_5-1	ALDH1B1	665	893	579	579	92	852	448	527	559	766	749	801
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	267	373	94	57	228	508	695	499	211	407	257	462
ALDH1L1_CCDS3034.1_ex12_3:125855646-125855669:-_5-1	ALDH1L1	599	730	549	471	500	904	651	1131	749	958	734	866
ALDH1L1_CCDS3034.1_ex20_3:125877433-125877456:+_5-4	ALDH1L1	104	168	4	121	7	44	57	56	47	91	52	103
ALDH1L1_CCDS3034.1_ex16_3:125872325-125872348:+_5-2	ALDH1L1	939	1017	1582	1216	1056	1417	1301	1475	1062	1667	1028	1416
ALDH1L1_CCDS3034.1_ex17_3:125873428-125873451:-_5-3	ALDH1L1	220	300	294	111	29	404	257	246	310	549	176	382
ALDH1L2_CCDS31891.1_ex17_12:105459100-105459123:+_5-2	ALDH1L2	226	282	209	159	264	692	228	171	243	216	116	174
ALDH1L2_CCDS31891.1_ex18_12:105460388-105460411:+_5-3	ALDH1L2	440	590	412	268	330	485	609	528	415	433	415	731
ALDH1L2_CCDS31891.1_ex20_12:105464480-105464503:-_5-4	ALDH1L2	415	522	664	266	686	558	581	492	407	495	490	573
ALDH1L2_CCDS31891.1_ex21_12:105467674-105467697:+_5-5	ALDH1L2	447	542	413	246	273	856	566	460	378	568	725	933
ALDH1L2_CCDS31891.1_ex15_12:105455461-105455484:+_5-1	ALDH1L2	124	169	289	36	12	35	129	110	140	146	120	168
ALDH2_CCDS55885.1_ex3_12:112227692-112227715:+_5-4	ALDH2	558	706	801	498	358	455	431	559	494	729	316	453
ALDH2_CCDS55885.1_ex1_12:112219769-112219792:+_5-1	ALDH2	681	869	579	576	304	1056	492	528	704	851	534	858
ALDH2_CCDS55885.1_ex3_12:112227670-112227693:-_5-3	ALDH2	293	328	252	491	72	362	254	302	233	471	265	334
ALDH2_CCDS55885.1_ex5_12:112229142-112229165:+_5-5	ALDH2	661	743	976	400	469	767	1209	1132	573	800	613	858
ALDH2_CCDS55885.1_ex3_12:112227620-112227643:+_5-2	ALDH2	392	511	304	337	196	183	526	931	288	354	355	495
ALDH3A1_CCDS11212.1_ex5_17:19644508-19644531:-_5-3	ALDH3A1	599	708	999	360	459	666	568	538	697	871	1241	1447
ALDH3A1_CCDS11212.1_ex8_17:19646622-19646645:-_5-5	ALDH3A1	1506	1711	1601	1492	1241	1969	1530	1827	1415	1510	1704	2286
ALDH3A1_CCDS11212.1_ex5_17:19644440-19644463:+_5-2	ALDH3A1	1008	1031	1069	664	667	1658	1188	1312	1047	1368	841	983
ALDH3A1_CCDS11212.1_ex4_17:19643640-19643663:+_5-1	ALDH3A1	648	792	534	952	477	800	443	565	381	827	528	619
ALDH3A1_CCDS11212.1_ex6_17:19645442-19645465:-_5-4	ALDH3A1	388	435	92	181	22	159	337	406	367	441	219	290
ALDH3A2_CCDS11210.1_ex2_17:19555923-19555946:+_5-2	ALDH3A2	234	296	308	117	701	427	325	370	279	377	218	293
ALDH3A2_CCDS11210.1_ex3_17:19559753-19559776:+_5-3	ALDH3A2	457	634	333	605	437	893	389	603	459	542	390	509
ALDH3A2_CCDS11210.1_ex0_17:19552427-19552450:-_5-1	ALDH3A2	630	768	232	649	74	355	489	445	502	627	503	459
ALDH3A2_CCDS11210.1_ex4_17:19561095-19561118:-_5-5	ALDH3A2	522	584	620	821	644	483	427	628	402	596	320	434
ALDH3A2_CCDS11210.1_ex4_17:19561047-19561070:+_5-4	ALDH3A2	339	398	251	365	553	256	575	508	466	614	324	504
ALDH3B2_CCDS31622.1_ex5_11:67433833-67433856:-_5-3	ALDH3B2	392	612	667	147	462	860	500	271	574	673	665	461
ALDH3B2_CCDS31622.1_ex4_11:67433610-67433633:-_5-2	ALDH3B2	327	357	89	112	658	191	227	214	200	310	221	365
ALDH3B2_CCDS31622.1_ex5_11:67433856-67433879:+_5-4	ALDH3B2	692	945	940	418	1057	608	710	786	479	825	1067	1213
ALDH3B2_CCDS31622.1_ex6_11:67434033-67434056:+_5-5	ALDH3B2	912	1120	591	801	113	1124	849	829	1008	976	788	758
ALDH3B2_CCDS31622.1_ex3_11:67432784-67432807:-_5-1	ALDH3B2	761	912	774	511	325	1241	1559	1339	902	1014	725	834
ALDH4A1_CCDS188.1_ex9_1:19209900-19209923:-_5-4	ALDH4A1	168	209	547	523	154	417	84	111	222	324	189	168
ALDH4A1_CCDS188.1_ex10_1:19212039-19212062:+_5-5	ALDH4A1	490	600	670	498	194	812	595	836	453	576	585	891
ALDH4A1_CCDS188.1_ex7_1:19208237-19208260:+_5-1	ALDH4A1	127	168	73	100	406	15	265	232	96	203	142	150
ALDH4A1_CCDS188.1_ex9_1:19209843-19209866:+_5-3	ALDH4A1	315	416	12	44	0	580	138	193	134	257	148	296
ALDH4A1_CCDS188.1_ex8_1:19209632-19209655:-_5-2	ALDH4A1	665	783	721	292	601	767	596	627	670	800	560	694
ALDH5A1_CCDS4555.1_ex2_6:24503564-24503587:-_5-3	ALDH5A1	365	406	95	105	198	137	565	420	212	294	317	340
ALDH5A1_CCDS4555.1_ex0_6:24495525-24495548:-_5-1	ALDH5A1	699	718	605	524	538	425	758	745	646	920	471	724
ALDH5A1_CCDS4555.1_ex2_6:24503643-24503666:+_5-4	ALDH5A1	845	1024	343	318	268	658	779	1129	590	766	804	1161
ALDH5A1_CCDS4555.1_ex3_6:24505106-24505129:-_5-5	ALDH5A1	785	949	629	538	907	1202	1148	1131	545	759	616	874
ALDH5A1_CCDS4555.1_ex1_6:24502754-24502777:+_5-2	ALDH5A1	230	221	176	138	305	86	185	354	209	309	252	230
ALDH6A1_CCDS61501.1_ex8_14:74539054-74539077:-_5-5	ALDH6A1	434	498	223	212	231	175	759	776	367	443	308	608
ALDH6A1_CCDS61501.1_ex5_14:74535617-74535640:-_5-1	ALDH6A1	433	487	105	248	469	362	326	396	320	353	370	380
ALDH6A1_CCDS61501.1_ex7_14:74538649-74538672:-_5-4	ALDH6A1	111	108	20	78	38	16	39	121	72	160	236	217
ALDH6A1_CCDS61501.1_ex6_14:74538162-74538185:+_5-3	ALDH6A1	139	222	17	449	89	80	697	610	123	163	171	77
ALDH6A1_CCDS61501.1_ex6_14:74538098-74538121:-_5-2	ALDH6A1	825	865	1599	1003	700	1516	800	1041	948	1008	907	941
ALDH7A1_CCDS4137.2_ex17_5:125930754-125930777:-_5-5	ALDH7A1	293	404	353	211	218	647	204	167	347	260	127	152
ALDH7A1_CCDS4137.2_ex16_5:125929056-125929079:+_5-3	ALDH7A1	445	503	197	118	229	1198	258	263	286	407	299	408
ALDH7A1_CCDS4137.2_ex12_5:125912809-125912832:+_5-1	ALDH7A1	514	618	1053	1024	666	462	663	615	599	832	895	1101
ALDH7A1_CCDS4137.2_ex12_5:125912840-125912863:+_5-2	ALDH7A1	388	485	242	276	243	401	270	429	198	377	175	275
ALDH7A1_CCDS4137.2_ex17_5:125930712-125930735:-_5-4	ALDH7A1	279	324	149	70	100	218	336	447	230	224	321	513
ALDH8A1_CCDS5171.1_ex5_6:135265085-135265108:-_5-5	ALDH8A1	496	632	168	268	752	429	532	542	584	775	585	641
ALDH8A1_CCDS5171.1_ex4_6:135263594-135263617:-_5-3	ALDH8A1	367	475	389	151	316	306	543	549	332	389	538	540
ALDH8A1_CCDS5171.1_ex2_6:135254123-135254146:-_5-1	ALDH8A1	519	512	237	445	432	373	611	612	577	691	528	534
ALDH8A1_CCDS5171.1_ex4_6:135263607-135263630:+_5-4	ALDH8A1	613	619	608	171	138	342	437	605	512	423	638	997
ALDH8A1_CCDS5171.1_ex4_6:135263536-135263559:+_5-2	ALDH8A1	609	764	1637	697	890	836	573	688	603	706	602	874
ALDH9A1_CCDS1250.2_ex7_1:165651438-165651461:+_5-2	ALDH9A1	273	342	752	214	117	242	99	262	189	305	214	253
ALDH9A1_CCDS1250.2_ex8_1:165652232-165652255:+_5-3	ALDH9A1	455	650	1079	44	227	1108	343	313	254	303	315	704
ALDH9A1_CCDS1250.2_ex10_1:165667624-165667647:+_5-4	ALDH9A1	306	382	623	174	149	388	517	368	121	346	372	511
ALDH9A1_CCDS1250.2_ex7_1:165651336-165651359:+_5-1	ALDH9A1	484	514	66	113	54	116	698	490	172	215	394	499
ALDH9A1_CCDS1250.2_ex10_1:165667671-165667694:-_5-5	ALDH9A1	79	93	12	0	41	20	21	34	36	72	4	11
ALDOA_CCDS10668.1_ex2_16:30079953-30079976:+_5-4	ALDOA	367	404	311	104	0	852	437	621	108	187	195	439
ALDOA_CCDS10668.1_ex1_16:30078795-30078818:+_5-1	ALDOA	332	397	117	349	7	295	162	276	223	417	173	276
ALDOA_CCDS10668.1_ex1_16:30078940-30078963:+_5-2	ALDOA	133	150	9	47	0	306	50	141	45	20	14	13
ALDOA_CCDS10668.1_ex2_16:30079985-30080008:-_5-5	ALDOA	930	1010	529	282	477	262	387	456	420	661	646	721
ALDOA_CCDS10668.1_ex1_16:30078966-30078989:+_5-3	ALDOA	176	214	87	13	0	113	104	116	239	191	106	195
ALDOB_CCDS6756.1_ex5_9:104190794-104190817:-_5-2	ALDOB	184	232	144	77	6	344	239	162	192	218	157	256
ALDOB_CCDS6756.1_ex4_9:104189798-104189821:+_5-1	ALDOB	764	905	418	388	431	1479	662	929	885	866	635	887
ALDOB_CCDS6756.1_ex6_9:104192231-104192254:+_5-5	ALDOB	452	506	744	663	678	819	373	516	345	583	315	622
ALDOB_CCDS6756.1_ex6_9:104192133-104192156:-_5-3	ALDOB	549	696	538	288	324	312	557	458	373	437	382	552
ALDOB_CCDS6756.1_ex6_9:104192173-104192196:+_5-4	ALDOB	718	807	953	594	257	649	1200	792	745	1201	518	813
ALDOC_CCDS11236.1_ex6_17:26902336-26902359:+_5-5	ALDOC	612	680	233	182	290	139	430	547	292	451	295	388
ALDOC_CCDS11236.1_ex5_17:26901958-26901981:+_5-2	ALDOC	574	636	171	229	256	735	276	307	326	307	227	370
ALDOC_CCDS11236.1_ex6_17:26902256-26902279:+_5-4	ALDOC	347	465	290	88	65	643	257	229	192	213	213	183
ALDOC_CCDS11236.1_ex4_17:26901756-26901779:+_5-1	ALDOC	197	266	281	287	60	114	364	134	174	177	110	175
ALDOC_CCDS11236.1_ex6_17:26902148-26902171:-_5-3	ALDOC	423	468	333	390	279	705	360	397	213	458	329	295
ALG1_CCDS10528.1_ex4_16:5127513-5127536:+_5-5	ALG1	506	623	79	178	0	235	186	182	136	220	225	468
ALG1_CCDS10528.1_ex2_16:5123169-5123192:-_5-2	ALG1	253	300	162	52	82	287	146	251	170	153	60	186
ALG1_CCDS10528.1_ex4_16:5127493-5127516:+_5-4	ALG1	7	4	0	0	0	0	7	0	0	0	0	0
ALG1_CCDS10528.1_ex0_16:5121988-5122011:-_5-1	ALG1	765	1006	16	40	42	308	156	158	261	433	221	288
ALG1_CCDS10528.1_ex3_16:5125468-5125491:+_5-3	ALG1	249	286	19	50	0	111	159	89	69	86	39	25
ALG10_CCDS41769.1_ex2_12:34179024-34179047:+_3-3	ALG10	48	57	177	19	56	12	37	48	32	74	8	33
ALG10_CCDS41769.1_ex0_12:34175620-34175643:+_3-1	ALG10	284	334	9966	16	140	69	138	163	210	178	154	99
ALG10_CCDS41769.1_ex1_12:34176931-34176954:-_3-2	ALG10	397	512	443	434	428	329	642	555	389	670	381	502
ALG10B_CCDS31772.1_ex0_12:38710781-38710804:+_3-1	ALG10B	296	349	99	69	152	175	109	94	138	154	177	240
ALG10B_CCDS31772.1_ex1_12:38712094-38712117:+_3-2	ALG10B	467	599	509	115	322	358	411	597	144	330	510	665
ALG10B_CCDS31772.1_ex2_12:38714335-38714358:+_3-3	ALG10B	269	277	356	180	35	108	158	299	335	398	194	277
ALG11_CCDS31977.1_ex2_13:52598170-52598193:-_5-2	ALG11	542	626	31	17	0	116	274	439	116	110	38	40
ALG11_CCDS31977.1_ex2_13:52598412-52598435:-_5-4	ALG11	15	19	0	0	0	0	0	7	0	8	0	0
ALG11_CCDS31977.1_ex2_13:52598294-52598317:+_5-3	ALG11	454	575	90	111	281	303	292	346	286	571	327	583
ALG11_CCDS31977.1_ex1_13:52593158-52593181:+_5-1	ALG11	37	51	2	34	6	55	17	19	92	46	55	47
ALG11_CCDS31977.1_ex2_13:52598786-52598809:-_5-5	ALG11	224	227	0	72	67	524	166	178	123	154	75	90
ALG12_CCDS14081.1_ex7_22:50307101-50307124:+_5-5	ALG12	1099	1309	1316	562	898	651	1399	1489	803	1208	958	887
ALG12_CCDS14081.1_ex7_22:50307068-50307091:+_5-4	ALG12	306	398	213	91	100	198	354	371	271	258	164	181
ALG12_CCDS14081.1_ex6_22:50304070-50304093:+_5-2	ALG12	440	458	1757	161	503	460	706	532	300	394	366	488
ALG12_CCDS14081.1_ex6_22:50304201-50304224:-_5-3	ALG12	214	273	276	61	103	262	400	332	247	274	349	498
ALG12_CCDS14081.1_ex4_22:50302940-50302963:-_5-1	ALG12	712	889	645	224	227	1316	1153	988	736	1209	457	668
ALG13_CCDS14559.1_ex1_X:110925394-110925417:+_11-2	ALG13	216	256	0	4	0	56	68	117	47	119	109	76
ALG13_CCDS14559.1_ex1_X:110925500-110925523:+_11-4	ALG13	280	300	0	0	259	14	145	241	141	151	43	55
ALG13_CCDS14559.1_ex2_X:110928230-110928253:-_11-5	ALG13	274	347	26	0	174	83	70	134	102	197	89	20
ALG13_CCDS14559.1_ex1_X:110925370-110925393:-_11-1	ALG13	179	154	12	79	0	59	42	0	53	90	18	71
ALG13_CCDS55477.1_ex3_X:110951596-110951619:-_11-7	ALG13	307	354	290	303	65	314	552	604	443	308	227	382
ALG13_CCDS55477.1_ex14_X:110968222-110968245:+_11-11	ALG13	470	555	584	235	228	698	409	435	405	439	449	490
ALG13_CCDS55477.1_ex11_X:110964879-110964902:-_11-9	ALG13	291	330	461	530	117	554	291	328	357	503	244	509
ALG13_CCDS14559.1_ex1_X:110925426-110925449:-_11-3	ALG13	111	161	29	70	73	101	78	47	40	40	32	18
ALG13_CCDS55477.1_ex9_X:110961401-110961424:+_11-8	ALG13	185	188	335	45	177	97	97	160	159	197	62	56
ALG13_CCDS14559.1_ex2_X:110928262-110928285:+_11-6	ALG13	341	344	0	73	76	160	214	202	137	196	265	247
ALG13_CCDS55477.1_ex14_X:110968171-110968194:-_11-10	ALG13	337	454	461	326	319	148	425	379	374	700	204	268
ALG14_CCDS752.1_ex3_1:95538349-95538372:+_5-5	ALG14	429	510	166	406	121	476	143	253	157	305	286	301
ALG14_CCDS752.1_ex1_1:95492776-95492799:-_5-2	ALG14	278	395	52	63	10	155	117	146	159	248	110	220
ALG14_CCDS752.1_ex2_1:95530420-95530443:-_5-3	ALG14	67	89	0	22	0	0	3	60	39	57	26	49
ALG14_CCDS752.1_ex1_1:95492732-95492755:+_5-1	ALG14	216	253	38	220	0	137	88	166	36	20	34	66
ALG14_CCDS752.1_ex3_1:95538327-95538350:-_5-4	ALG14	201	202	29	9	0	67	9	33	14	24	6	28
ALG1L_CCDS33840.1_ex2_3:125650552-125650575:-_5-3	ALG1L	520	616	234	71	17	474	283	508	310	387	269	217
ALG1L_CCDS33840.1_ex3_3:125651491-125651514:-_5-5	ALG1L	228	209	25	30	0	129	87	138	135	172	71	105
ALG2_CCDS6739.1_ex1_9:101983827-101983850:-_5-1	ALG2	694	775	138	485	15	224	148	72	45	66	268	259
ALG2_CCDS6739.1_ex1_9:101983965-101983988:+_5-3	ALG2	676	956	261	248	93	494	182	136	265	250	285	365
ALG2_CCDS6739.1_ex1_9:101984006-101984029:-_5-4	ALG2	419	541	236	130	4	497	58	94	76	66	41	18
ALG2_CCDS6739.1_ex1_9:101984026-101984049:-_5-5	ALG2	361	414	0	89	0	263	60	136	51	63	50	121
ALG2_CCDS6739.1_ex1_9:101983897-101983920:+_5-2	ALG2	590	635	0	175	31	413	48	103	45	88	90	162
ALG3_CCDS46967.1_ex6_3:183963377-183963400:+_5-4	ALG3	282	372	658	429	910	531	338	448	290	214	234	210
ALG3_CCDS46967.1_ex5_3:183963130-183963153:+_5-2	ALG3	83	84	18	9	135	47	60	40	7	32	45	42
ALG3_CCDS46967.1_ex7_3:183963545-183963568:-_5-5	ALG3	184	212	263	180	239	280	338	187	137	114	167	326
ALG3_CCDS46967.1_ex6_3:183963346-183963369:-_5-3	ALG3	933	1003	807	279	793	1082	1184	1129	852	1194	894	1151
ALG3_CCDS46967.1_ex5_3:183963058-183963081:-_5-1	ALG3	376	458	649	229	444	940	446	493	303	492	471	385
ALG5_CCDS45033.1_ex5_13:37563636-37563659:-_5-1	ALG5	133	166	78	120	0	40	193	164	129	218	75	96
ALG5_CCDS45033.1_ex5_13:37563684-37563707:-_5-3	ALG5	7	9	0	0	0	0	0	0	0	0	0	0
ALG5_CCDS45033.1_ex6_13:37569157-37569180:-_5-4	ALG5	425	573	2595	1208	156	1001	702	757	793	1068	391	798
ALG5_CCDS45033.1_ex7_13:37569619-37569642:-_5-5	ALG5	183	236	514	192	81	42	273	342	206	297	295	326
ALG5_CCDS45033.1_ex5_13:37563655-37563678:-_5-2	ALG5	128	209	127	48	214	162	72	40	35	117	86	60
ALG6_CCDS30735.1_ex2_1:63867945-63867968:+_5-1	ALG6	28	33	0	0	50	85	22	5	30	24	0	25
ALG6_CCDS30735.1_ex3_1:63870190-63870213:+_5-3	ALG6	310	315	122	64	254	56	208	320	271	326	240	157
ALG6_CCDS30735.1_ex6_1:63876973-63876996:+_5-5	ALG6	45	48	188	67	0	103	64	78	52	16	21	43
ALG6_CCDS30735.1_ex2_1:63867976-63867999:-_5-2	ALG6	65	54	1460	227	97	0	4	15	86	104	47	24
ALG6_CCDS30735.1_ex6_1:63876873-63876896:+_5-4	ALG6	458	561	573	824	358	336	339	425	518	727	861	699
ALG8_CCDS41692.1_ex10_11:77835238-77835261:-_5-5	ALG8	649	743	2328	513	468	1254	407	641	430	672	440	689
ALG8_CCDS41692.1_ex7_11:77825425-77825448:-_5-3	ALG8	57	98	15	0	0	3	10	49	111	92	34	12
ALG8_CCDS41692.1_ex8_11:77830224-77830247:+_5-4	ALG8	159	185	219	304	41	777	198	312	87	65	166	216
ALG8_CCDS41692.1_ex7_11:77825343-77825366:+_5-2	ALG8	205	274	486	297	58	405	145	163	184	258	187	184
ALG8_CCDS41692.1_ex7_11:77825315-77825338:+_5-1	ALG8	63	55	40	161	0	66	31	36	23	37	23	20
ALG9_CCDS41714.1_ex6_11:111715432-111715455:-_5-3	ALG9	361	412	357	172	358	291	537	580	144	382	242	254
ALG9_CCDS41714.1_ex8_11:111724432-111724455:+_5-4	ALG9	136	220	75	192	93	418	218	95	124	67	86	58
ALG9_CCDS41714.1_ex5_11:111711496-111711519:+_5-2	ALG9	251	324	316	125	185	116	317	349	194	53	186	188
ALG9_CCDS41714.1_ex9_11:111728404-111728427:-_5-5	ALG9	363	379	206	230	720	273	368	456	306	335	188	297
ALG9_CCDS41714.1_ex5_11:111711399-111711422:+_5-1	ALG9	103	112	663	31	222	186	73	130	56	136	55	49
ALK_CCDS33172.1_ex27_2:29940443-29940466:+_5-2	ALK	343	375	50	11	3	332	313	313	193	149	143	113
ALK_CCDS33172.1_ex28_2:30143243-30143266:+_5-4	ALK	551	743	609	540	1071	301	567	427	538	858	668	1066
ALK_CCDS33172.1_ex16_2:29462629-29462652:+_5-1	ALK	778	928	1900	2198	960	1003	1003	994	940	953	1143	1127
ALK_CCDS33172.1_ex28_2:30142976-30142999:-_5-3	ALK	172	239	716	170	340	299	332	361	241	288	177	265
ALK_CCDS33172.1_ex28_2:30143322-30143345:+_5-5	ALK	344	389	773	151	57	16	419	337	222	256	197	303
ALKBH1_CCDS32127.1_ex2_14:78146221-78146244:-_5-1	ALKBH1	121	125	64	9	328	21	43	85	158	242	124	137
ALKBH1_CCDS32127.1_ex4_14:78170728-78170751:-_5-4	ALKBH1	301	372	811	127	87	641	233	338	279	446	261	419
ALKBH1_CCDS32127.1_ex5_14:78174239-78174262:-_5-5	ALKBH1	986	1145	1325	1249	765	1669	1599	1008	1089	1097	804	788
ALKBH1_CCDS32127.1_ex2_14:78146291-78146314:-_5-3	ALKBH1	9	17	0	0	0	0	0	8	3	0	0	0
